selector,trial,role,nickname,fingerprint,ip,country,bandwidth
Tor,29,guard,blackfox,A9HvPvK+UUUVDFisxyUZ3YYOYbo,136.243.3.194,Germany,87000
Tor,29,middle,TorRelay12345,/Cm64t1pQYV37f7m5mPHcieCKrc,107.189.8.12,Luxembourg,2900
Tor,29,exit,barlow,o4oSZBtscITjVNRp+f6Cg3IAHmM,23.129.64.131,United States,5100
Tor,30,guard,CanisLatrans,co+X1byxMWmIFNjHE8IiDG5yZ94,135.148.100.90,United States,28000
Tor,30,middle,Quetzalcoatl,hRhtTC8OQlfIMAHVjW+rGvk6oic,107.189.14.4,Luxembourg,57000
Tor,30,exit,eo190,AIL+GSEtloHusjIKQq3wOQ0jFYU,23.129.64.190,United States,6900
Tor,31,guard,CyberFog,tQkJHBOSWv6kBgZoGof7UJhld9o,84.52.216.169,Norway,14000
Tor,31,middle,endivie,jTRacJwHPBF3aKHyEM0EvxIjSuw,109.70.100.67,Austria,36000
Tor,31,exit,sullyhelpstor,4JmcX0LRIgSqgDhlPbrNzh9A5/8,107.189.13.254,Luxembourg,24000
Tor,32,guard,percy,vgYoQ3H9kDFUpoPWxQH/GXjB+h4,178.32.139.118,France,86000
Tor,32,middle,MonaLissa,A3OCT+IBddxxdl4IuIeMBD1mZhU,45.140.164.67,France,33000
Tor,32,exit,keite,2FaXfCglfscN+TeyywborJiUBhM,23.129.64.175,United States,8000
Tor,33,guard,janiTORX5,mcfxAO66J2d3FdAxinHTY2a4BLE,88.99.142.177,Germany,120000
Tor,33,middle,Unnamed,TIMCw6bIAIHBK8Wo+aOJF72SP74,5.196.131.170,France,26000
Tor,33,exit,eo203,zOM1Kl8d/7gt8r5jfrOxoEjSJPs,23.129.64.203,United States,6100
Tor,34,guard,prsv,nDSu51FCvmzOd5/YwH5WCezuy+U,80.94.92.135,Romania,7600
Tor,34,middle,atomcats,mrk7VCIUnl3/S+ajgU4vbZZI22o,198.244.229.228,United Kingdom,220000
Tor,34,exit,schuetzdich,76gqxLXXFZcjLReun+UdO4bWCfc,45.86.153.248,Germany,74000
Tor,35,guard,unnamed314,ozpccM+oaZaxrn0yuToZQqruaDU,178.18.246.223,France,11000
Tor,35,middle,PRQseTORexit6,4RQpvonugjHG5ULJB7fk7/VyVy4,88.80.26.4,Sweden,24000
Tor,35,exit,hellman,JzE1xOxzah6I24IQOhecPDZGcBk,23.129.64.155,United States,5600
Tor,36,guard,prsv,uqeaYDf6k4OoQju37pudWF0WlU0,51.38.112.15,France,48000
Tor,36,middle,r0cket03i1,njT7DI6TftjPzg5HeTuXDHMZVPg,45.84.107.76,Sweden,44000
Tor,36,exit,Andr0medaTF,xG/tTWWCx5ZIlZ6TS2zn1A4sDyc,205.185.116.215,United States,3100
Tor,37,guard,TORKeFFORG2,aAFqmsR3rgObjuB8Nsq8BEASamc,193.189.100.195,Sweden,41000
Tor,37,middle,hogman2,WQ09AgWjmNZf9+QcftRuRst86FY,23.137.253.109,United States,7400
Tor,37,exit,merkle,UyHfqm1Zd+sFuA7p2cikiTkeNWY,23.129.64.156,United States,5200
Tor,38,guard,prsv,WnWe+p11+dESSe0SmE/xEKkrIME,135.125.183.193,France,100000
Tor,38,middle,prsv,+vxNJDT/sV35afWjaZWETij9doo,57.131.27.46,France,9800
Tor,38,exit,horgabost,HStkAZcBObKwANYzSWifErPjJyM,23.129.64.174,United States,6600
Tor,39,guard,RelayUli,ijBVl6zsIf9pZF9XcW+aDxYMcms,57.128.228.176,Poland,66000
Tor,39,middle,fi2andersio,wUhI20QnmxmCQO4Or73WbNDuCU0,65.109.0.210,Finland,30000
Tor,39,exit,mathewson,NAfFz2p4ukdr8XriBjX0sioAyxc,23.129.64.163,United States,8300
Tor,40,guard,lildread,S8ASGpH9yZOFCREM1uCf+vkwPyY,64.65.1.69,United States,7100
Tor,40,middle,lamarr,ngO5Sxb/OeogGc579cbIu/hM1nU,109.70.100.245,Austria,68000
Tor,40,exit,horgabost,HStkAZcBObKwANYzSWifErPjJyM,23.129.64.174,United States,6600
Tor,41,guard,KarsLovesIsrael,Ab1Jb8UZdSNsNwF/C71nE5GD2eQ,185.126.114.110,Ukraine,20000
Tor,41,middle,lunar9,iL5rQ0wTVVfHCgE9N05Too2kDWo,203.55.81.2,France,41000
Tor,41,exit,merkle,UyHfqm1Zd+sFuA7p2cikiTkeNWY,23.129.64.156,United States,5200
Tor,42,guard,lunar12,4jHaY5gUJbMiYUMx9Yx6FlTq1jA,203.55.81.2,France,44000
Tor,42,middle,Exits4Privacy,plizgrKQLODzCykhwXCPY+vuppY,192.76.160.147,Germany,160000
Tor,42,exit,eo215,OAmTjVeGzSiGyFZXgxauP/YvzL0,23.129.64.215,United States,6700
Tor,43,guard,arribaespana,mDdSWoZFg0rJtd3j20J4Zy/6yWk,141.227.137.150,France,42000
Tor,43,middle,TORnadoExit02,b/Nlhx6AjrZ6HGHKUmjss7/NF6I,109.71.252.97,Germany,120000
Tor,43,exit,nenapini,dh+a7RXJyMeB4XdDPNkUOehCq9Q,23.129.64.169,United States,7500
Tor,44,guard,Mikontalo,V6iein3Aa0iA20gurr2JkqPzZWo,88.193.128.121,Finland,28000
Tor,44,middle,flowjob04,3Qqmbdnk5x/6+rZY34MA8c7qA2Q,92.60.38.94,Germany,34000
Tor,44,exit,snowden,hsepolah7LA0/P6sggxjiVhFXcs,23.129.64.147,United States,5400
Tor,45,guard,1blu4DEicebeer01,/Mi7r1pU/3X4H6krEJuHNF7oMdM,178.254.44.163,Germany,62000
Tor,45,middle,radicchio,/IhZITbuwvN8PRaF42uLjT7m3AE,109.70.100.1,Austria,30000
Tor,45,exit,eo209,4a/mlyQfZFe2xSoVhXa04RKi+JQ,23.129.64.209,United States,6600
Tor,46,guard,prsv,0Tq+xURtuwCJrh3qZ/RajFbH7HI,185.40.4.10,Norway,30000
Tor,46,middle,FlashLizard,Y4nstIkTNLhGMA/dimglDrtbfFI,185.82.219.85,Bulgaria,3000
Tor,46,exit,ellsburg,p4NGoB7tPvZtK6XjSpZJPRtDwEg,23.129.64.135,United States,6000
Tor,47,guard,Kanellos,c9UEX0rlCyJMq9rcM5tdEBz1pGU,146.0.36.87,Germany,35000
Tor,47,middle,ItHurtsWhenIP,lPZHRtgHBOcs9g/R1qmpBE4EXnw,207.188.189.121,Spain,8000
Tor,47,exit,eo182,Vq+ttOUFVSZO6pEIDMdzJzlog3g,23.129.64.182,United States,6000
Tor,48,guard,severancecheck,rXhq9Ijh9V1PCKoFkBMEWWCPZf4,51.158.204.114,The Netherlands,53000
Tor,48,middle,DFRI111,EnHXnEJDtPi6nEnDyTSeQF9v2xw,171.25.193.79,Sweden,30000
Tor,48,exit,eo207,h9bKPR1givNR37NcmC+JPXZut2Y,23.129.64.207,United States,6800
Tor,49,guard,VrijHeid3,/jNunj6bHhuVnUSxQHheejybG0A,94.142.241.194,The Netherlands,24000
Tor,49,middle,richboy,SFtiwSvdt3LIKB/sPLfxmj9BaJg,64.65.0.55,United States,37000
Tor,49,exit,eo198,pnizuN5aYvle4Nk2rKbE+9B9Fts,23.129.64.198,United States,5900
Tor,50,guard,dotsrcExit1,GqBCqoATt8eFPOKniFN99VhJhRA,185.129.61.1,Denmark,69000
Tor,50,middle,keep,y9QgEG5Gwe7NtaArTOEs/xo4ues,188.165.131.206,France,76000
Tor,50,exit,diffie,BvC7TN9NdeXoJlpicMENL9/mSqo,23.129.64.154,United States,4600
Tor,51,guard,Spigen,h02EOCyJLz9hzJ4Qa/CIQ94Lhlo,192.42.113.102,The Netherlands,62000
Tor,51,middle,cal,FEIGrR+YupbK+h6/RnLLQfXDEnI,152.53.48.80,Austria,51000
Tor,51,exit,eo214,7SRaGZ2gnk4AMjlRHRkZpJRYh5s,23.129.64.214,United States,6600
Tor,52,guard,defcon777,kW3DGZ9jkWjNIK7E1FlpJo6Adpk,148.251.136.16,Germany,92000
Tor,52,middle,maluma,hC+8fCNPFLiuqNSMtKqXTD+jZOo,64.65.62.67,United States,12000
Tor,52,exit,NotYourINTERNET,/qWGMtzeQy+qKBX8UhP/+EEUWG8,64.190.113.221,United States,7000
Tor,53,guard,Unnamed,gNNsQ8ySJtEGuZAR3krRVER+FeY,85.215.152.106,Germany,58000
Tor,53,middle,r0cket08i5,q6kbmAeWLgRUbdPt5/7Fa+dYDqg,45.84.107.172,Sweden,39000
Tor,53,exit,Hub234,GnycAp33aYr36EDJZrb0mVvFZFE,154.90.54.69,United Arab Emirates,710
Tor,54,guard,OnionsAreBeautiful,WWaXrtPhfBtuxcBiCXrdW/yBeo0,194.26.192.22,The Netherlands,15000
Tor,54,middle,prsv,r7wdIFE56pPrnx9fsmVQ5/hTBMo,45.92.1.136,The Netherlands,31000
Tor,54,exit,eo189,2MaEt+xqU8jlQcR4xFozQzI9Qkw,23.129.64.189,United States,6000
Tor,55,guard,NTH39R1,G6oz/kr6OjB3lwQ/zVlmXTws5VI,192.42.116.202,The Netherlands,18000
Tor,55,middle,DFRI29,vlIPfeZu5DdUtOPHLnAx1ZH/Alc,171.25.193.77,Sweden,30000
Tor,55,exit,eo203,zOM1Kl8d/7gt8r5jfrOxoEjSJPs,23.129.64.203,United States,6100
Tor,56,guard,prsv,/aqDWyZXyouBWBeRaSDSO92hi1I,185.177.238.26,Albania,30000
Tor,56,middle,ChumBucket,ANpKOFLqXvaEG4tDctsO/TqwvpI,5.9.56.249,Germany,89000
Tor,56,exit,nenapini,dh+a7RXJyMeB4XdDPNkUOehCq9Q,23.129.64.169,United States,7500
Tor,57,guard,mikrogravitationF,Q2yAaw5EKLFeQH6v40c5XVJZLXI,45.14.233.252,Germany,73000
Tor,57,middle,rickrolltroll,64BrILpplzbuMXFlMj/uxlWkgOY,46.22.165.111,Poland,26000
Tor,57,exit,eo197,XwJuwh/OibqHT8u/EECMKbkqgCI,23.129.64.197,United States,5500
Tor,58,guard,torexitams08,LbcGJq5qlhYCqVD+UtkTrZBbD58,45.66.35.28,The Netherlands,78000
Tor,58,middle,Quetzalcoatl,8mC1StE9epqqcuZ91YPzADfvf/o,45.80.158.93,The Netherlands,10000
Tor,58,exit,sweeney,Hvwpb7It0osHKoL3J2XVQOK7Ovg,23.129.64.165,United States,8300
Tor,59,guard,honeycomb,lvamcUGPbfJWkRi1ay74l7cpBIs,46.29.166.59,Russia,7100
Tor,59,middle,NTH100R3,HNp2UjmpRZeZFxVHMLZheQkrMF8,94.142.241.41,The Netherlands,16000
Tor,59,exit,snowden,hsepolah7LA0/P6sggxjiVhFXcs,23.129.64.147,United States,5400
Tor,60,guard,Quetzalcoatl,jq6BD6M/JjQWBdWfgtitWPfqbMU,89.58.26.216,Germany,8200
Tor,60,middle,emir,WDVjHHnlXN/c+eLRTLmUMlrrMWI,45.157.234.132,Germany,210000
Tor,60,exit,eo188,UwozKircr21DEqBza83feWoJcls,23.129.64.188,United States,5900
Tor,61,guard,TORnadoExit01,VVFBoPhbVzHi6JTVE4SOYLgtjjw,109.71.252.88,Germany,120000
Tor,61,middle,Exits4Privacy,CHGqc52NkR/eP2jRh+cjIDTnCqM,192.76.160.131,Germany,140000
Tor,61,exit,eo182,Vq+ttOUFVSZO6pEIDMdzJzlog3g,23.129.64.182,United States,6000
Tor,62,guard,marcuse12,dG/afX9jP/iL9zVBakLkctYw2Gg,178.20.55.182,France,28000
Tor,62,middle,tor01kryptonit,2BGwAobMNOOu6xzY1YhoFFXCMlw,86.52.62.47,Denmark,38000
Tor,62,exit,turing,jmnyGcEqX3WFz2ReTprnIMPmzCs,23.129.64.150,United States,8300
Tor,63,guard,Datenschredder,YcUt/AkP0bGqDB9DHcU1JJwxHrk,80.64.181.152,Germany,54000
Tor,63,middle,PommespanzerES1,itvwKuThcoHRsM3o35sTxXW1gcU,194.164.169.85,Spain,16000
Tor,63,exit,merkle,UyHfqm1Zd+sFuA7p2cikiTkeNWY,23.129.64.156,United States,5200
Tor,64,guard,HRMB,8SxuMALJYGSkwLFMondpDhldcHQ,159.69.71.228,Germany,71000
Tor,64,middle,TORKeFFORG25,WvC5nyN57RdT52b4ClBFHAmRMiY,193.189.100.205,Sweden,44000
Tor,64,exit,eo206,9jmdtyTD+GiDPzjXAfDjEasEi6g,23.129.64.206,United States,5300
Tor,65,guard,Polyphemus15,Vbm/qlCAIBCLwVoWeMNMKDYfwS0,198.251.84.237,Luxembourg,25000
Tor,65,middle,mikrogravitation7,oUldeW4aXjKYcMijPggNrlXFBSY,45.14.233.210,Germany,76000
Tor,65,exit,eo214,7SRaGZ2gnk4AMjlRHRkZpJRYh5s,23.129.64.214,United States,6600
Tor,66,guard,tetraegis,fcSZ6nK/VT08vRsUkWfqoE/TeqA,51.77.71.247,Germany,75000
Tor,66,middle,arbitraryKenzie0,mdXJpacjiYbR6h13cc+BtKGSxNA,65.108.136.190,Finland,32000
Tor,66,exit,tra,HzGXCguWrlt7I3FytOAUgeZe8+g,23.129.64.172,United States,7600
Tor,67,guard,Antisheep,f+fTpbEcym0rw3+DtWdM8o9LL60,5.255.117.56,The Netherlands,20000
Tor,67,middle,ZackMorris,0MqjMVOqzGnVTWoxhZLh8F31ITo,178.218.144.96,Italy,21000
Tor,67,exit,eo188,UwozKircr21DEqBza83feWoJcls,23.129.64.188,United States,5900
Tor,68,guard,MaxRelay2,AI6iLAQKS1wmJVEZW1w0tU81PYM,23.186.168.33,United States,2500
Tor,68,middle,waschbaer,wQSvmgfvN8y2K7BITSGSf9spR3A,109.70.100.70,Austria,34000
Tor,68,exit,eo217,HnWWxhmb0eP9fe9GAcxfcYxTDBU,23.129.64.217,United States,6800
Tor,69,guard,prsv,+c+K2OLIlWr1yVgfnMEJhso7+jQ,51.195.118.232,France,87000
Tor,69,middle,JobiWan,RgIpdxyWmWxrq4gHDRH6cTWCA3g,86.80.225.203,The Netherlands,7200
Tor,69,exit,eo207,h9bKPR1givNR37NcmC+JPXZut2Y,23.129.64.207,United States,6800
Tor,70,guard,Kanellos,WP5ncjQ/9s2eU9iwQKLOSVgI6T0,146.0.36.87,Germany,30000
Tor,70,middle,prsv,KrWj6+fiGx/ilWH4e1RXH5mp1Pg,81.19.141.199,Germany,54000
Tor,70,exit,bonobo,PlYTZEhcg/V7LiiZbd71SD1lmig,23.129.64.224,United States,6100
Tor,71,guard,marvinmartian,XzmBuOBfVZR0C0zFboyVhAOkLHY,5.255.109.214,The Netherlands,21000
Tor,71,middle,CryptoCactus,8xqOy/ZpzE5rHBSGbr0lwTpw8pY,185.232.68.247,Germany,23000
Tor,71,exit,eo205,YpaIIsQws4iFaMWd6ns8TRpmp74,23.129.64.205,United States,6700
Tor,72,guard,dotsrcExit4,V5b+HrV0TrNj/bSZ/7wveTPAyko,185.129.61.4,Denmark,49000
Tor,72,middle,prsv,XRNiBXUwiRuLf7uINm5IIMfILrM,54.37.80.38,France,41000
Tor,72,exit,eo183,gDb0KH7WHODEK1c0+HPuecDMfic,23.129.64.183,United States,6100
Tor,73,guard,vermiculitus,EmEEKxd1u6zjjcbEvK6Hp4sc3wY,80.82.76.55,The Netherlands,73000
Tor,73,middle,swift1231,+OGim8PyBIYa7QwtvAXO9eC5bPg,171.22.172.65,Germany,7200
Tor,73,exit,eo218,VdGRLJsMKpgmfe7bhvHw2dXJCN0,23.129.64.218,United States,5900
Tor,74,guard,relayonbeshaba,BuwsFmnlqBHZZA4HztV4baUMVzc,185.220.100.245,Germany,110000
Tor,74,middle,koolkeith,gsLOK7TJPU/KLX+Z7SPb9TNe7fc,64.65.0.30,United States,72000
Tor,74,exit,hellman,JzE1xOxzah6I24IQOhecPDZGcBk,23.129.64.155,United States,5600
Tor,75,guard,GOGRelayHvn2,6IYAmSF+IkHCXpSwP9uGoO09wsw,176.65.132.187,The Netherlands,35000
Tor,75,middle,slotor01,SWBKfMfoCrPVGK/D6VsuomVTJxk,198.244.233.55,United Kingdom,64000
Tor,75,exit,eo221,rd2vF/RhrR/8J6cCiNBuG/4fKBg,23.129.64.221,United States,5800
Tor,76,guard,Quetzalcoatl,cqpM+JFokzLZRzpOAUD4PbIhBUg,185.241.208.82,Poland,16000
Tor,76,middle,prsv,iGc8Ti757nXf5IqagwYGSvubvik,81.19.141.199,Germany,36000
Tor,76,exit,eo186,fTZMnJO77Cuv/7fJiqIN4CVbWlE,23.129.64.186,United States,7900
Tor,77,guard,LOLlolLOL,5Spnls/Cink1IZY1BcDFxco/+ko,51.68.47.161,France,52000
Tor,77,middle,NTH37R7,U3iYO8IGQsIr06TbBERfdZ68CeM,192.42.116.189,The Netherlands,37000
Tor,77,exit,eo200,wuIDAwMdvRsbvHxLGv2jsV96GDs,23.129.64.200,United States,5400
Tor,78,guard,StuRav,SU5QALp58AeN+gXmEJEcKsUlVy8,144.76.162.202,Germany,100000
Tor,78,middle,NTH100R3,HNp2UjmpRZeZFxVHMLZheQkrMF8,94.142.241.41,The Netherlands,16000
Tor,78,exit,gun,xyaIdq6E/4RlmuIR6OA+aKYQtIs,23.129.64.157,United States,6500
Tor,79,guard,TORKeFFORG34,Ed7/+RK6lEAtN/S98EQKNh+Df2U,193.189.100.201,Sweden,33000
Tor,79,middle,sabotage,dMDCcF2xGSwD8Z980bsjSEOxqB8,45.66.35.35,The Netherlands,210000
Tor,79,exit,kofatra,L8aDYP7yAG1US/rDM5vRDpJ2lTY,23.129.64.171,United States,7700
Tor,80,guard,bgprodeo,kj8F/og9vIm/ER85GoghaAENFlo,185.244.24.40,The Netherlands,92000
Tor,80,middle,Quetzalcoatl,L9sOCMVjq10iX9vVU9EXyW0RYO0,45.138.16.164,Poland,28000
Tor,80,exit,sweeney,Hvwpb7It0osHKoL3J2XVQOK7Ovg,23.129.64.165,United States,8300
Tor,81,guard,as214958tor8,BT7QNS9J9dl03hfqmAz+rK2GmYI,94.142.241.153,The Netherlands,23000
